iata,icao,faa,latitude,longitude
,,AK20,70.4206222220001,-150.886666667
,PPNU,AA27,70.4141000000001,-150.018591667
NUL,PANU,,64.7293333330001,-158.074222222
,,18AA,59.365047222,-135.804905556
,,AA35,59.4375555560001,-136.229361111
,,AK74,65.9048580560001,-163.3290925
HWI,,,58.1274413890001,-134.755953056
HRR,PAHV,,63.867583333,-148.968833333
,,7AK7,63.7384319440001,-148.881749722
,,AK33,55.8013950000001,-160.899254444
,,2AK5,60.4816750000001,-146.5842525
,,2AK6,66.1761333330001,-155.684816667
HYL,,,55.490416667,-132.623555556
HCA,PAHC,,62.188305556,-159.774944444
HOM,PAHO,,59.645548611,-151.476594722
,,5BL,59.6415555560001,-151.521127778
,,AK29,61.6126,-149.852280556
,,AK89,61.656308333,-149.886722222
,,AA33,61.6041500000001,-149.770119444
,,AA30,61.648188889,-149.870830556
,,80AK,61.6019694440001,-149.784180556
HUS,PAHU,,66.0390833330001,-154.264694444
HLA,PAHL,,65.6978611110001,-156.351388889
HYG,PAHY,,55.206316111,-132.828313056
,,4Z7,55.903319722,-130.006703056
,,19AK,59.969018889,-141.661770278
,,2AK8,70.292489167,-161.903334167
IGG,PAIG,,59.3240416670001,-155.901772778
ILI,PAIL,,59.755578111,-154.91775225
,,2AK9,65.673477222,-162.464062778
KAL,PAKV,,64.3189800000001,-158.741305833
,,5Z4,59.0017527780001,-158.532464444
,,5Z5,63.5409861110001,-150.995077778
,,Z90,63.7512055560001,-150.330263889
KYK,PAKY,,57.566055556,-154.453805556
KKL,,,57.367035833,-154.027591111
KXA,,,55.537413889,-132.397514444
,PFKA,Z09,60.8733333330001,-162.524305556
,,5KS,60.3505208330001,-151.262856389
,,AK5,60.255555556,-151.303055556
,,5Z9,58.554843056,-155.7773875
ENA,PAEN,,60.573277778,-151.244833333
,,3AK5,60.5888675,-152.161977222
KVC,PAVC,,55.116384167,-162.266535556
AKN,PAKN,,58.6764934720001,-156.648691
IIK,PAKI,,59.9316111110001,-164.028111111
KKB,,,58.1909461110001,-152.3704875
KVL,PAVL,,67.7361388890001,-164.5635
AKW,PAKW,,55.5792222220001,-133.076
OBU,PAOB,,66.912333333,-156.897333333
KDK,PAKD,,57.8059175000001,-152.373841389
,,9Z3,57.8025838890001,-152.382731667
ADQ,PADQ,,57.749793889,-152.493943611
,,T44,57.780833333,-152.391388889
,PFKK,9K2,59.433286111,-154.802591667
GGV,PAGG,,59.8756888890001,-163.1680875
,,Z55,62.2916180560001,-146.57735
,,13S,62.2828552780001,-146.518866944
,PALB,2A3,57.535083333,-153.976666667
,,9Z9,60.4118847220001,-149.369341667
ALZ,,,56.896213861,-154.246857611
,,9Z8,59.127083333,-156.859888889
,,2AK,61.3591305560001,-155.440386111
,,4AK,65.4672694440001,-148.653747222
,,AK71,70.910745278,-153.242215
,,4AK3,61.3778825000001,-143.325958333
,,13Z,55.601305833,-131.636683056
,PAMX,15Z,61.4378190830001,-142.902503
,,AK31,61.411224444,-143.001235
,,24AK,61.61575,-149.706930556
MYU,PAMY,,60.372388889,-166.270194444
MTM,PAMM,,55.131045278,-131.5780675
,,84K,55.739636111,-132.255018333
MDO,PAMD,,59.449943611,-146.307240556
MHM,PAMH,,63.8859722220001,-152.301833333
,,51Z,65.1481666670001,-149.368583333
,,0AK3,62.0348250000001,-150.491044444
,,99AK,62.5990427780001,-157.151805833
,,52Z,60.6410811110001,-149.497134444
KMY,,,57.0255855560001,-154.145918611
MOU,PAMO,,62.094777778,-163.682861111
IBN,,,62.4018461110001,-142.995468056
IGT,PAGT,,60.4691708330001,-164.7040375
,,1AK5,60.7397222220001,-151.308333333
,,AK73,60.725273611,-151.302236111
FSP,PAFS,,63.0185588890001,-154.358438056
IKO,PAKO,,52.941555556,-168.849027778
NIN,,,60.0202341670001,-151.589418611
WTK,PAWN,,67.5611666670001,-162.980416667
,,94Z,64.5114222780001,-165.390230222
OME,PAOM,,64.5125550000001,-165.444393889
,PANO,5NN,59.9802302780001,-154.839174722
,PFNO,D76,66.8175277780001,-161.02225
,,0AK0,64.3925,-146.862083333
,,95Z,64.7592222220001,-147.387638889
,PPIT,16A,60.9060000000001,-162.440583333
ZNC,,,60.9810305560001,-159.993919444
,,6R7,57.2183055560001,-153.269831944
KOY,,,57.1614525000001,-154.229793333
,,Z17,63.1459194440001,-156.528908333
,,4K5,57.9421551670001,-152.464993056
PAQ,PAAQ,,61.5949166670001,-149.088722222
,,3AK2,61.6275000000001,-149.286730556
,,AK46,61.6288305560001,-149.043188889
,,05AK,61.6686541670001,-149.187333333
,,AK63,61.588611111,-149.1425
,,AK66,61.457633333,-148.795358333
,,5AK6,61.5570111110001,-149.268288889
,,4AK6,61.639375,-149.283951389
,,34AK,61.6250388890001,-149.288580556
,,39AK,61.5860277780001,-149.235980556
,,AK93,61.6551805560001,-149.273488889
,,14AK,61.602466667,-149.248
,,2D3,61.627719444,-149.239069444
,,9AK1,61.630869444,-149.231788889
,,AK88,61.604697222,-149.040188889
,,97AK,61.664,-149.2536
,,AK92,61.6374277780001,-149.028655556
,,AK50,61.5546333330001,-149.141513889
,,AA85,61.616419444,-149.221030556
PNP,PAPN,,57.5803805560001,-157.571956944
UGB,,,57.4253580560001,-157.739865556
,,0AK,61.9614769720001,-162.942354611
PTU,PAPM,,59.017830556,-161.827191667
,,6AK1,58.9117158330001,-161.713891667
KPB,PFKP,,56.351859722,-133.622586389
PHO,PAPO,,68.3481287220001,-166.79912675
PIZ,PPIZ,,69.732888889,-163.005333333
,,6AK2,61.2516277780001,-149.966202778
,,AK14,61.3533333330001,-150.0825
,,50AK,61.380461111,-150.11625
,PAOC,A14,58.906525,-157.711166667
AHP,PAAP,,56.2468422220001,-134.648153889
,,01A,62.9407555560001,-152.269609722
,,20K,65.3547194440001,-149.761377778
,,5QC,65.405933056,-164.655724722
AQH,PAQH,,59.7550930560001,-161.845365556
,,6AK,62.0841419440001,-152.717524722
RMP,PFMP,,65.5079000000001,-150.140833333
RDV,,,61.7880555560001,-157.35025
DGG,PADG,,68.0321111110001,-162.899194444
RBY,PARY,,64.7272222220001,-155.469888889
RSH,PARS,,61.774890278,-161.319398722
,,9AK2,61.8990000000001,-161.439722222
,,A23,56.8863322220001,-134.158387778
PBV,PAPB,,56.5773611110001,-169.663722222
KSM,PASM,,62.0608308330001,-163.301836389
SHX,PAHX,,62.6923055560001,-159.569222222
,PFSH,2C7,64.3710833330001,-161.223972222
SMU,PASP,,61.811280556,-147.509051389
SXP,,,62.520416389,-164.847645833
SYA,PASY,,52.7122583330001,174.113588889
,,1AK6,61.8561388890001,-151.397972222
SHH,PASH,,66.249583333,-166.089361111
SHG,PAGH,,66.8880833330001,-157.162416667
SIT,PASI,,57.046834361,-135.361068694
,,AA12,57.0408333330001,-135.295555556
,,A29,57.052137778,-135.346208611
SGY,PAGY,,59.4602,-135.316859722
SKW,PASW,,61.9661125000001,-151.195390278
,,70AK,60.517777778,-150.959722222
,,AK26,64.5606413890001,-164.442327778
WSN,PFWS,,58.7020833330001,-157.002583333
SVW,PASV,,61.0971138890001,-155.574808333
,,36H,55.2333391670001,-160.552026389
WSB,POWS,,55.5296386110001,-133.641697222
WBB,,,63.5159722220001,-162.278
,,88AK,60.5402777780001,-150.868055556
,,40AK,60.5574185,-150.843492
,,53AK,60.5338611110001,-150.856463889
,,AK84,60.529444444,-150.830833333
,,AK05,60.54105,-150.599216667
,,AK01,60.528983333,-150.625133333
,,3AK3,62.563766667,-150.2205
,,AK61,62.699627778,-148.907411111
,,AK19,62.172755556,-150.063963889
,,21AK,62.0826111110001,-150.066930556
,,AK8,62.3134138890001,-150.06935
,,AA00,62.5101500000001,-149.926716667
,,51AK,62.2422888890001,-150.065813889
,,49AK,62.024480833,-149.9772425
,,45AA,62.1628972220001,-150.539608333
,,AK44,62.3189366670001,-150.116147778
TSG,,,63.374063806,-143.32898975
TAL,PATA,,65.1743888890001,-152.108111111
TNC,PATC,,65.5640333330001,-167.922458333
TOG,PATG,,59.053555556,-160.396777778
,,8AK9,63.2999275000001,-143.023339722
,,9AK0,62.5294375,-143.253409
,PFTO,6K8,63.3295143060001,-142.953684028
,,57A,55.9371333330001,-133.326721389
OOK,PAOO,,60.541336389,-165.087183889
,,58A,62.1134113890001,-146.041066667
,,9AK,64.0256597220001,-148.5223375
,,5AK0,60.815549167,-151.798917222
,,81AK,62.567690833,-150.236021389
,,0AA5,62.3127777780001,-150.335833333
,,61AK,62.567552778,-150.235883333
VDZ,PAVD,,61.134221944,-146.244768056
,,1AK7,61.136611111,-146.345388889
,,L93,61.0871222220001,-146.144008333
,,3AA3,61.1300000000001,-146.370555556
VEE,PAVE,,67.008675,-146.366358333
,,0AK6,61.803374444,-147.944153333
,PAWT,AK03,70.613377778,-159.86035
AWI,PAWI,,70.638,-159.99475
IWK,PAIW,,65.6225555560001,-168.094972222
,,AK99,61.446666667,-149.761111111
,,AK83,61.6272500000001,-149.609330556
,,7AK8,61.62125,-149.614919444
,,AK25,61.6175000000001,-149.614738889
,,99Z,61.609236111,-149.263541667
,,3AK6,61.59295,-149.268938889
,,AK1,61.530315278,-149.017636111
,,5AK9,61.5485194440001,-149.190311111
,,7AK9,61.6468305560001,-149.048538889
,,92AK,61.562244444,-149.260325
PXK,PAXK,,63.0245800000001,-145.500550833
